Lemma,Locatie,NR,Left,Token,Right,Variant,Meaning,Original_meaning,Metaphor,Concreteness,Century,Source,Title,Date,Author,Genre,Rhyme,Region,Land,Corpus,Register,Prose_play,Freq_lemma,Century_fact,Freq_lemma_century,Freq_meaning,logFreq_lemma,logFreq_lemma_century,logFreq_meaning,percentage_syncope_16,percentage_syncope_17,percentage_syncope_18,percentage_syncope_19,percentage_syncope_20,percentage_syncope_century,lag_variation,Freq_meaning_cat
heide,Middelburg,1," 1ar troostelooze, eindelooze hei, waar wij, kinderen, opgroeiden als  de schapen en koeien, die wij er hoedden, in omgang met menschen, die het weinig  in beschaving van   Marie Boddaert, Sturmfels     69    Vader en Moeder wonnen, ruwe woorden, harde behandeling, slechte voeding, slechte  kleeding en - slechter leiding. Behalve Ds. Hatzfeld en de Heer Kern, schout en  zaakwaarnemer van Vrouwe Aurora, waren het meerendeels lieden van \xE9en slag,  begeerig en afgunstig, afgericht van hun jeugd af om degenen, die boven hen gesteld  waren, zooveel mogelijk te bedriegen en naar den mond te praten. Wisburg bestaat  uit een dubbele rij aaneengeschakelde, vuilgrijze, lage huizen en schuren, en een  twintigtal verstrooide hutten op de hei en den schralen bouwgrond. Op die ",hei,", aan  den boschrand, bewoonden wij, - Vader had het eindelijk tot onderhoutvester gebracht,   - een groote hut, opgetrokken van leem en klei, steen en hout, niet veel meer dan \xE9en  groot vertrek, door een houten wand in twee ongelijke deelen gesplitst. D\xE1ar huisden  wij: Vader, Moeder en negen kinderen. 's Morgens vroeg er op uit, - Vader wist ons  altijd aan allerlei baantjes te helpen, - 's avonds terug, moede en hongerig. Wee  dengeen, die met klachten door den werkgever werd teruggezonden of ziek te huis  kwam. Vader kende geen genade. Zijn inkomen was klein en zijn huisgezin groot;  zoo spoedig wij konden, moesten wij meehelpen om den kost te verdienen.  Moeder sprong dikwijls voor ons in de ",de_apocope,veldsoort,original_meaning,literal,concrete,19,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1800-1900/1800-1900/Fictional prose/Boddaert.txt,sturmfels,1889,Boddaert,fiction,no_rhyme,Vlaanderen,NL,DVO,written,Fictional prose,87,19,42,41,1.939519253,1.62324929,1.612783857,NA,0,0,0.166666667,0.710526316,0.166666667,0,meest_frequent
heide,Amsterdam,15,"  zeide: \x91We hebben elkaar.\x92 Het was zijn oude beminnelijke  bescheidenheid tegenover haar, die haar de tranen in de oogen dreef - en haar als  oude vrouw zijn hand deed vatten in een diepe teederheid.   In Amsterdam dan weer zat hij met Pieter en worstelde den tijd door. Pieter had zorg  thuis: Eug\xE9nies gezondheid was sterk achteruitgegaan, en een verblijf in het buitenland  ging voor haar met te groote moeielijkheden gepaard. Zij hoestte voortdurend en in  haar magerte leek zij bijna doorzichtig thans. Zij was den zomer ingegaan na den  droeven feestloozen winter om Jetjes dood, futloos en slap. Zij kwam logeeren op  Mon D\xE9sir en lag in een ligstoel achter bij de ",hei,".   Als Annette bij haar zat, zei zij:   \x91O heerlijk mama lig ik hier. Het is een weldaad deze verrukkelijke lucht. En u  bed\xE8rft me z\xF3\xF3....\x92    En tegen haar schoonvader:   \x91Papaatje, u weet het niet ho\xE8 ik verwend word hier. Ik kom ponden aan, heusch....\x92    Zoo zei zij haar beleefdheden, haar vriendelijkheden met haar heel hooge stem,  met haar glimlach die nog altijd betooverend haar doodsbleek gelaat met de groote  grauwe oogen doorlichtte - zei ze de phrases die zij niet laten kon te zeggen tegen  haar schoonfamilie, haar kennissen.   Maar als ze alleen was, verstierf haar gezicht - rekte ze de armen en dacht: \x91Mijn  hemel, hoe ontzettend vervelend ",de_apocope,veldsoort,original_meaning,literal,concrete,20,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1900-2000/1900-2000/Fictional prose/Boudier-Bakker 1931.txt,klop_op_de_deur,1931,Boudier-Bakker,fiction,no_rhyme,Holland,NL,DVO,written,Fictional prose,87,20,38,36,1.939519253,1.579783597,1.556302501,NA,0,0,0.166666667,0.710526316,0.710526316,0.166666667,meest_frequent
heide,Antwerpen,552,"  glinsterende starren des geluks, en onmeetbaer diep, als  moeste het menschenhart eeuwig blyven gelyk de eerste liefdezucht - kuische wierook  der ziel - het maekte.   Arme lieden! zy dachten niet aen de groote maetschappy, die daer verre in de  steden krielt; haer niets vragende, meenden zy dat zy zich hunner nooit herinneren  zou, en zy leefden met betrouwen voort in hunne schoone en zoete ellende. Maer op  eens kwam men van de leemenhutjes den tol des bloeds afeischen. De eenige jonge  man die er woonde, - de eenige die er de magt had om de ondankbare aerde door  zyn zweet te bevruchten,   Hendrik Conscience, De loteling     16    zou loten - en soldaet worden indien zyne bevende hand een ongelukkig nummer  aengreep: zyne ",heide,", zyne moeder, zyne vriendinne een lang vaerwel, - misschien  een eeuwig afscheid zeggen, en verkwynen gaen onder de wonden, door het woeste  krygsleven zyner zuivere stille ziele toegebragt!   Hy was gekomen de droeve Meertsdag, in den almanak van 1833 door Trien met  een zwart kruis geteekend!   De jonge man was met een tiental makkers uit het dorp naer Brecht gegaen om te  loten.   Daerbinnen zaten de beide moeders en het jongsken voor het Lieve Vrouwenbeeld,  met opgeheven armen, te bidden. De oude grootvader, dwaelde sprakeloos over en  weder, en bleef eindelyk voor de deure staen, met de hand aen den stam van den  wyngaerd geslagen en met het hoofd ten gronde gebogen, als blikte hy in een graf.   Het ",de,veldsoort,original_meaning,literal,concrete,19,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1800-1900/1800-1900/Fictional prose/Conscience.txt,loteling,1851,Conscience,fiction,no_rhyme,Brabant,BE,DVO,written,Fictional prose,87,19,42,41,1.939519253,1.62324929,1.612783857,NA,0,0,0.166666667,0.710526316,0.166666667,0,meest_frequent
heide,Amsterdam,45," 92    \x91Maar alle andere werk wil je ook niet! Hier op kantoor hang je ook rond.\x92    \x91Ik kan nu eenmaal niet helpen dat ik anders ben dan jullie - dat ik verafschuw  wat iedereen zalig schijnt te vinden: werken. 't Is zeker wel abnormaal, maar ik kan  het niet. Zoo min litterair werk als iets anders. Ik kan alleen schrijven als ik niet  hoef.\x92    \x91Maar wat wil je d\xE0n\x92    \x91Ja.... ik wou dat jullie niet zoo schrokken als ik het zeg....   Ina Boudier-Bakker, De klop op de deur     539    ik wou nu maar van tante Phines geld ergens heel goedkoop buiten gaan leven, in  een schuur of zoo, op de ",hei,". D\xE0t zou ik willen. En niets doen. Alleen maar zitten  denken. 's Winters voor een vuur, en 's zomers in de zon. En dan kom ik wel eens  thuis.... Ik wil alleen een kat bij me hebben met zijn schoteltje melk ergens op den  vloer. Zou ik Sjukke niet mee kunnen krijgen? En verder boeken.\x92    \x91Maar....\x92Annette haperde. Een diepe ongekende angst sprong haar naar de keel,  een angst dien ze nooit vermoed had: om een leven uit haar voortgekomen dat  abnormaal zich ging verliezen op vreemde onbegrepen paden, waar zij niet volgen  kon. Op dit moment wist zij dat de angst om Philip geleden, om zijn zwalken op die  verradelijke zee ",de_apocope,veldsoort,original_meaning,literal,concrete,20,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1900-2000/1900-2000/Fictional prose/Boudier-Bakker 1931.txt,klop_op_de_deur,1931,Boudier-Bakker,fiction,no_rhyme,Holland,NL,DVO,written,Fictional prose,87,20,38,36,1.939519253,1.579783597,1.556302501,NA,0,0,0.166666667,0.710526316,0.710526316,0.166666667,meest_frequent
heide,Charleroi,453,"  der gebreeken. Deel 1   4  Zielsverhuizing van Pythagoras, dan zal dat gulzig Menschdier, hier namaals zyn  schors verruilen, tegens het gevaart van een Olifant, die eerst een water-emmer  vol gegeeven Wyn met zyn snuit uitpompt, en die naderhand zyn Weldoenders nat  en vuilmaakt, door die te besproeijen met zyn gulzig Overschot.  Hermesrust. Onlangs vroeg Ifis; door wat Krygslist de Mingod my had verschalkt,  en door wat betoverent Vermogen die Liefdeboeijen my min knelden, en me\xEAr  vergenoegden? Die vraag heb Ik, aan die tedere Nimf, beantwoord, door dit  navolgende Veersje.  Ik, die altoos door Venus ben gebengelt,  Had, onlangs, voor een Nimf, een groenen krans gestrengelt,  (Geschenken van een Herders kind,  Zyn groene kranssen, die hy aan der ",heide," vind.)  Toen Pafos Wicht myn Vryheid kwam beloeren;  Want, wyl ik beezig was met Ifis hair te snoeren,  Belaagde 't Kind myn rust, schoon het myn yver prees.  Ik kende, laas! Gevaar, nog Vrees.  Het spande, langs het groen, een Zyden draat,  Verbloemt met Madelief, en laage Veldgewassen,  Het paste, op myn komst, gelyk een kloek Soldaat,  Die op de loerjagt legt, om kondschap te verrassen,  'k Trad toe, doch 'k struikelde, en dat op d'eersten tred.  Wie kan bestaan, voor 's Mingods warrenet?  Gelyk een trotsche Leeuw, die in een Jagers strik  Verschalkt, en brult, en tiert, en poogt om zig te ontpynen,  Doch, door dat woelen, voelt zyn strik te vaster twynen;  Dus was, ",de,veldsoort,original_meaning,literal,concrete,18,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1700-1800/1700-1800/Fictional prose/Weyerman.txt,den_ontleeder_der_gebreeken,1724,Weyerman,fiction,no_rhyme,other,BE,DVO,written,Fictional prose,87,18,6,6,1.939519253,0.77815125,0.77815125,NA,0,0,0.166666667,0.710526316,0,0,meest_frequent
heide,Amsterdam,328,"  voor me uit. Maar laat het kantoor zoolang gerust zijn gang  F. Bordewijk, Karakter   274  gaan, dat komt allemaal terecht. Jij moet zeelucht hebben, of de hei, of de bergen,  in elk geval je moet hier vandaan.  Den volgenden dag was hij vertrokken, Katadreuffe nam voor het eerst vacantie,  hij vertrok een dag later. Hij voelde ditmaal de rust als een volstrekte noodwendigheid.  En dan was hij meteen bevrijd van het aanhooren van eindelooze hinderlijke gissingen  omtrent het plotseling heengaan van juffrouw te George, want het bediendenkantoor  k\xF2n daar maar niet over uit, en hij moest zelf meepraten om geen achterdocht te  wekken. Hij nam geen maand vacantie, maar veertien dagen. Hij ging niet naar  bergen, ",heide," of zee, hij bleef vlak in de buurt, hij ging naar zijn moeder.  Ze ontving hem op haar stille stroeve manier, maar zijn kabinet was altijd voor  hem klaar. Ze voelde wel dat hem iets scheelde, hij zag er zoo vervallen uit, ze kon  niet stellig weten wat het was, bovenmatige inspanning was het zeker geweest, maar  niet alleen, niet alleen, ze ried iets van een meisje. Maar als hij niet sprak, dan vroeg  ze ook niet, daar had ze geen aard naar. Ze verzorgde hem onopvallend, hij zou het  bij haar niet minder hebben dan bij die menschen over wie hij zoo tevreden was.  Ze liet hem lang slapen, hij sliep de eerste week bijna het ",de,veldsoort,original_meaning,literal,concrete,20,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1900-2000/1900-2000/Fictional prose/Bordewijk 1938.txt,karakter,1938,Bordewijk,fiction,no_rhyme,Holland,NL,DVO,written,Fictional prose,87,20,38,36,1.939519253,1.579783597,1.556302501,NA,0,0,0.166666667,0.710526316,0.710526316,0.166666667,meest_frequent
heide,Amsterdam,466,"  den nog  kleurloozen hemel en tegen de Zuiderzee, over wier graauwe oppervlakte een aantal  kleine vaartuigen el-  Jacob van Lennep, De lotgevallen van Ferdinand Huyck   159  kander kruisten. Iets meer nabij verhief zich een oude, met mosch en heesters  overdekte bouwval, de strenge stijl van welks bouworde scheen aan te kondigen,  dat ik de overblijfselen van een klooster voor mij had: een muurtje, dat waarschijnlijk  voorheen een kerkhof omheind had, verbond dit gedenkstuk van vroegere dagen  aan de hoeve, waarin ik mij bevond. Ter rechterzijde liep de grond glooiend opwaart,  en werd het verschiet hier en daar belemmerd door golvende heuvelen, deels met  koren of boekweit beteeld, deels met heesters en kreupelhout begroeid, deels bedekt  met de paerskleurige ",heide,", waar langs de witgewolde kudden reeds hun  ochtendmaal kwamen gebruiken. De stilte van den morgen werd alleen nu en dan  afgebroken door het dof geloei der runderen in den stal en het gekraai van den  wakkeren haan, die met zijn kakelbonten harem over het erf kuierde en het rijzend  zonnelicht begroette, dat allenkskens aan dit natuurtooneel leven en luister kwam  bijzetten. Op eens trof mij de gedachte: ik had dit bevallig geheel nog \xE9\xE9nmaal  beschouwd: wanneer of in welk gezelschap, dit wist ik mij niet te binnen te brengen;  maar het kwam mij voor, als ware het niet de eerste reize, dat ik mij hier bevond. Ik  kon uit den weg, dien ik den vorigen ",de,plant,secondary_meaning,literal,concrete,19,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1800-1900/1800-1900/Fictional prose/Huyck.txt,lotgevallen_huyck,1840,Huyck,fiction,no_rhyme,Holland,NL,DVO,written,Fictional prose,87,19,42,1,1.939519253,1.62324929,0,NA,0,0,0.166666667,0.710526316,0.166666667,0,minder_frequent
heide,Amsterdam,281,"  mij kende, en het hun,  vleide ik mij, wel uit het hoofd zoude praten, mij verder lastig te vallen.  Jacob van Lennep, De lotgevallen van Ferdinand Huyck   42  Derde hoofdstuk.  Waarin wordt bewezen, hoe gevaarlijk het is zonder parapluie uit te  gaan, en de beschrijving gevonden van een mooi meisje en een mooie  koepel.  Naauwelijks was ik buiten Zoest gekomen, of ik zag de huifkar een goed eindweegs  voor mij uit, doch nu weder stapvoets door het zware zand gaande. Ik gevoelde  geene roeping om haar in te halen, maar bleef, met denzelfden rustigen stap, dien  ik tot nog gehouden had, mijn weg vervolgen, en wel niet langs de gewone heerbaan  van Amersfoort op Naarden, door de Hilversumsche ",heide,", maar oostelijker  afhoudende met het voornemen van over Eemnes te gaan, als welke weg wel wat  om was, maar daarentegen meer lommerrijk en minder eenzaam.  Niets merkwaardigs gebeurde mij gedurende het begin mijner hernieuwde  wandeling; maar toen ik het Princelijke lusthuis Zoestdijk ongeveer een half uur  achter den rug had, begon ik wederom uittezien naar een herberg; niet omdat ik  eenige vermoeidheid of behoefte aan spijs of drank gevoelde; maar omdat de staat  der luchtgesteldheid mij hoe langer hoe meer vrees deed koesteren voor het op  handen zijn van een fiksche regenbui, die ik oordeelde dat na de lange droogte met  dubbel geweld zoude neerkomen. De zon, die, sedert eenigen tijd, nu en dan door  een  Jacob ",de,veldsoort,original_meaning,literal,concrete,19,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1800-1900/1800-1900/Fictional prose/Huyck.txt,lotgevallen_huyck,1840,Huyck,fiction,no_rhyme,Holland,NL,DVO,written,Fictional prose,87,19,42,41,1.939519253,1.62324929,1.612783857,NA,0,0,0.166666667,0.710526316,0.166666667,0,meest_frequent
heide,Antwerpen,417,"  bezwaernis des slaeps   Hendrik Conscience, De loteling     98    de eenige oorzaek dezer schynbare droefheid was, deed zy voor alsdan geene pooging  om zyn gemoed te verlichten. Zoohaest zy hem de laetste stukken brood gereikt had,  toog zy hem de kousen aen de voeten en bond hem de schoenen aen. De soldaet  greep naer den ransel om hem op zynen rug te laden; doch de maegd ontnam hem  denzelven.   \x91Neen, Trien, laet my hem nu dragen\x92 smeekte hy \x91gy zult u veel te moede maken.  Het staet toch niet, dat eene dochter met den ransel op den rug over de baen ga; het  moet al vreemd genoeg zyn, eene boerin met eenen blinden soldaet over de ",heide," te  zien trekken. Wat mogen de menschen denken?\x92    \x91Wat letten ons de menschen, Jan? Gy die niet zien kunt vermoeit u honderdmael  meer dan ik: gy mistrapt u bykans by elken stap! My overlast het pak niet.\x92    Zy nam zelve weder den ransel op den rug, en, dus reisveerdig zynde, bragt zy  den soldaet in het midden der baen. Zy gaf hem eenen stok in de hand, waervan zy  het andere einde tegen haren rug hield, opdat de arme blinde achter haer gansch  nauwkeurig haer voetspoor volgen zou. Voortgaende sprak zy:   \x91Nu, Jan lief, als ik te gauw ga moet gy het zeggen, - en laet ons wat klappen langs  de baen: het zal ",de,veldsoort,original_meaning,literal,concrete,19,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1800-1900/1800-1900/Fictional prose/Conscience.txt,loteling,1851,Conscience,fiction,no_rhyme,Brabant,BE,DVO,written,Fictional prose,87,19,42,41,1.939519253,1.62324929,1.612783857,NA,0,0,0.166666667,0.710526316,0.166666667,0,meest_frequent
heide,Sittard,259,"  voor een afknallen, gelijk de schietkraam op de kermis.\x92  \x91We wachten tot de schemering,\x92 besloot de Bisschop. \x91Dan kunnen we veilig naar  de boerderij lopen. Dat is de eenvoudigste oplossing.\x92  Die middag klaarde het enigszins op. Het regende niet meer. Latour had zijn schoenen  uitgetrokken en probeerde zijn sokken onder zijn hemd op zijn blote lijf te drogen.  De huid van zijn voeten was wit en zacht, met kloven tussen de tenen. Nog zo'n tocht  door de moerassen leek onmogelijk. De huid zou barsten door het vocht.  Hij nam zijn schoenen op en kroop naar de Bisschop die plat op zijn rug met zijn  handen onder zijn hoofd gevouwen in de ",hei," lag en voorwendde dat hij sliep.  \x91Bisschop,\x92 fluisterde Latour. \x91Heeft u die vervloekte stafkaart uit het kamp  meegenomen?\x92  Zijn handen voelden klam aan vanwege zijn angst dat hij op het cruciale moment  zijn opdracht vergeten was zodat hij er niet op toegezien had of de papieren  achterbleven. De priester sloeg langzaam zijn oogleden op.  \x91Waar heeft u het nu over, luitenant?\x92  \x91Man, doe toch niet altijd alsof je zo vervloekt compleet van de wereld bent,\x92 blafte  Latour in paniek. \x91Ik zit nu al dagen netjes te wachten totdat u mij die papieren geeft  waar ik  Jos Kleinjans, Het acces van Meijel   184  voor gekomen ben. Ik wil onderhand wel ",de_apocope,veldsoort,original_meaning,literal,concrete,20,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1900-2000/1900-2000/Fictional prose/Kleinjans 1987.txt,acces_meijel,1987,Kleinjans,fiction,no_rhyme,Oost,NL,DVO,written,Fictional prose,87,20,38,36,1.939519253,1.579783597,1.556302501,NA,0,0,0.166666667,0.710526316,0.710526316,0.166666667,meest_frequent
