Lemma,Location,NR,Left,Token,Right,Variant,Meaning,Original_meaning,Metaphor,Concreteness,Century,Source,Title,Date,Author,Genre,Rhyme,Regio,Land,Register,Frequency_lemma,Century_factor,Frequency_lemma_century,Frequency_meaning,logFreq_lemma,logFreq_lemma_century,logFreq_meaning,percentage_apocope_16,percentage_apocope_17,percentage_apocope_18,percentage_apocope_19,percentage_apocope_20,percentage_apocope_eeuw,lag_variation,Freq_meaning_cat
ark,Amsterdam,20,"  is zooveel gedruisch van binnen! daar is zooveel gewoel van  buiten! Wij merken die stemme niet op en maken ons zelven goden, die voor ons  aangezigt henen gaan; goden van onze keuze, om die ijverig te dienen, en wij buigen  er ons voor neder!...  Elise van Calcar, Eene star in den nacht (2 delen)   36  De een dient zijne afgoden in het openbaar, de andere vereert hen heimelijk. Nu eens  zijn het personen, dan wederom zaken; de een kiest ze zich uit het verleden, een  ander in het heden; bij dezen zijn het tastbare goederen, bij genen lof en roem - doch  van wat aard of natuur, hoe hoog ook vereerd en verheven - ieder afgod valt ne\xEAr als  Gods ",arke," verschijnt!  De levende God is een naijverig God en een \xE9\xE9nig Heer! - Hij vraagt geheel het  hart met alle krachten! - Welgelukzalig wie zijne afgoden leert kennen en den moed  heeft ze uit te werpen! - Maar zij zijn soms zoo schoon in ons oog, zoo liefelijk voor  dat hart, zoo innig met ons zaamgewassen als oog en hand en voet!... Dat oog  uitrukken, die hand, dien voet afhouwen!... Hoe zwaar, hoe moeijelijk, ja schier  onmogelijk! - En toch, daar komt een uur, dat de afgoden nederstorten, dat de  schijngestalten als kaf verstuiven, dat de tooverbanden als herfstdraden breken. -  Dan staat de arme, bedrogen mensch zoo geschokt en verslagen daar! - Och, mogt  hij dan altoos zich nederwerpen voor ",sjwa,kist,original,no,concrete,19,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1800-1900/1800-1900/Fictional prose/Calcar.txt,eene_star_in_den_nacht,1861,Calcar,fiction,no_rhyme,Holland,NL,written,15,19,10,7,1.176091259,1,0.84509804,NA,NA,1,0.1,1,0.1,1,most_frequent
ark,Sittard,21,"  in schoone paramenten: Servaas met alle heiligen die met hem rusten. Deze  vullen den ommegang boven de absis terwijl in de kerk de invitatoria en de psalm gedongen  worden der Metten uit het Officie der Belijders.  Alle torenvensters en galmgaten worden licht, dragen Engelen, wimpels en vanen en eindelijk  spreekt de machtige stem van Servaas:  SERVAAS.  Mijn kinderen, erfgenamen van mijn huis,  Wat vraagt gij van Servaas, die leeft en waakt!  ALLEN.  De eenheid nu van allen in het Kruis,  Nu, Vader, onder ons de wereld kraakt!  SOMMIGEN.  Het Schip van Petrus loopt in een orkaan!  ANDEREN.  De Hunnen vallen weer uw schaapstal aan!  SERVAAS.  Kinderen! wij waken - en de dag is heet:  Dat allen in de ",Ark," verzaam'len zullen,  Dat zich haar kameren met glorie vullen  En zij met heerlijkheid gansch wordt omkleed.  Bouwt! Bouwt de Ark - en geeft haar ruime zalen;  De stormen gaan voorbij: reeds doemt het Land -  De Liefde leeft en die gaat zegepralen:  Kinderen, wij varen rustig in Gods Hand.  Ook slapend waakt en bloeit ons trouw Gebeente  En onze geest is eeuwig bij ons deel  En krijgt gestalte in stemmen en gesteenten  En biddend binden wij het schoon geheel  Van aarde' en hemel, God en mensch te samen.  En allen worden kinderen en erfgenamen  Van Christus vrede' in Christus maatloos Rijk.  En er zal arbeid zijn en voedsel tegelijk  Voor allen, hetzij koning, knecht of kind,  Daar \xE9\",apocope,boot,secondary,no,concrete,20,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1900-2000/1900-2000/Plays/Schreurs 1934.txt,heiligen_ontwaken,1934,Schreurs,fiction,no_rhyme,Oost,NL,spoken_like,15,20,3,3,1.176091259,0.477121255,0.477121255,NA,NA,1,0.1,1,1,0.1,less_frequent
ark,Nevele,4,"  vork neerwerpend.  Mijnheer Teeuwis bleef kalmer, hij zag echter de verlegenheid in. Neen, noch bij  den pastoor noch bij hem, - want hij woonde in een huis met eene meid - noch in het  schoollokaal kon broeder Benignus verborgen worden: daar zou het gerecht hem  ontdekken. Maar - als drager van het geestelijk kleed had hij recht op de bescherming  der geestelijken - bij goede menschen,\x85 bij juffer Trinette\x85  Hij wisselde eenige woorden in het Latijn met zijnen overste.  Ja, dat kon zijn, maar dan moest de koster hem  Virginie Loveling, Sophie   386  eene burgersplunje bezorgen, en zou er te beraadslagen vallen, hoe de beschuldigde  of plichtige, want deze trachtte zich niet eenmaal te verschoonen, onbemerkt het  klooster van de ",Arke," des Verbonds te Donkzwalm bereiken kon.  \x91Hebt gij gegeten?\x92 vroeg de pastoor barsch.  \x91Neen.\x92  Op den hoek der tafel werd hem een bord toegeschoven; de zwaarlijvige geestelijke  sneed een stuk vleesch af en wierp het hem van verre toe, binnensmonds een  scheldwoord brommend. Doch broeder Benignus scheen geenen eetlust te gevoelen:  het bleef onaangeroerd.  Mijnheer Teeuwis was opgestaan en verliet de kamer, ten einde juffer Trinette om  nachtleger te vragen voor een arm, vervolging voor de rechtvaardigheid lijdend  paterken, zooals overeengekomen was, dat hij opgeven zou.  Maar was dit laatste bij onderwijzer en pastoor slecht onthaald geworden, wat  vergoeding stond hem hier te wachten! Och God, een arm paterken te herbergen!  Juffer Trinette ",sjwa,kist,original,no,concrete,19,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1800-1900/1800-1900/Fictional prose/Loveling.txt,sophie,1885,Loveling,fiction,no_rhyme,Vlaanderen,BE,written,15,19,10,7,1.176091259,1,0.84509804,NA,NA,1,0.1,1,0.1,1,most_frequent
ark,NL,22,"  is zo klein, en ook de hand van Broederschap te geven, bruit  nog zo wat heen; maar de hand op trouw te geven is een andere zaak. Zo dat, stel jy  Saartje Burgerhart maar uit je zin: Want ik wil ook niet, dat zy verandert: elk moet  blyven daar hv is. Ik hoop, dat wy in onze Kerk ook wel aartige Nufjes hebben; ga  maar eens op Dingsdag in onze Ouwe Kerk, als er op 't Orgel gespeelt wordt; dan  zyn er te kust en te keur, (en mooije dingen ook.) Trouw zo dra je wilt, als je meisje  maar een goeje huishoudster en Luters is: anders bedank ik voor de klugt. Myn Huis  moet geen Noachs ",Ark," worden. 't Zou mooi zyn; jy een Gereformeerde Vrouw; je  Bro\xEAr misschien een Remonstrantsche; Neef Klaas een Menniste; en Neef Gerrit een  Kwakerinne. Denk jy, dat God we\xEAr een Luter zal zenden, om jou familie nog eens  te hervormen?  Ik had gaarn nog wat gezeit, maar Vader hieldt zyn hoed voor de oogen, en dankte.  Toen naar 't Kantoor, en zwygen moest ik. Hy was echter nog al vriendlyk.  Betje Wolff en Aagje Deken, Historie van mejuffrouw Sara Burgerhart   339  Beklaag my, Kees lief; wat zal ik doen? Myn bezoeken staken? Om niets in de  Waereld: \xF4, als het daar op aan komt, ken ik geen beschroomtheid. Vader handelt in  deezen niet billyk. Wat verlang ik ",apocope,opvangcentrum,secondary,yes,abstract,18,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1700-1800/1700-1800/Fictional prose/Wolff en Deken.txt,sara_burgerhart,1782,Wolff en Deken,fiction,no_rhyme,NA,NL,written,15,18,2,1,1.176091259,0.301029996,0,NA,NA,1,0.1,1,1,1,less_frequent
ark,Amsterdam,7,"  met het ordenen der  verdedigingsmiddelen.  Elise van Calcar, Eene star in den nacht (2 delen)   290  - God lof dat de wakkere Valori nog in tijds het plan ontdekte - riep fra Jacomo.  - Vrees niet, zijt sterk en volhard in gelooven, sprak de prior - al stond Medicis  voor de poort, hij zou daar niet ingaan; want God heeft hem verdreven en sluit zelf  Florence toe als eenmaal de arke Noachs in het midden der woedende elementen.  Met deze tijding begaf Benivieni zich gemoedigd naar de signorie, terwijl  Savonarola de broeders in de kapel verzamelde om dien nacht in waken en bidden  door te brengen.  Zoodra de dag aanbrak sprak hij tot Paolo:  - Ga heen, mijn zoon, als de duif uit Noachs ",arke,", en onderzoek den stand der  zaken, om te vernemen door welke sterke hand de Heer ons behoed heeft, opdat wij  zijn grooten naam verheerlijken mogen.  Een uur later keert Paolo we\xEAr.  - Vader! ik breng u den olijftak des vredes - roept hij vrolijk. - De overste Salviati  laat u melden, dat de geweldige stortregens het leger van de Medicis alzoo heeft  geteisterd, dat het in de grootste verwarring is geraakt en zich daardoor niet op den  bepaalden tijd aan de aangewezen plaats met de andere troepen heeft kunnen  vereenigen, die bestemd waren om dezen nacht de stad te overrompelen. De dageraad  heeft hen verrast. En als Medicis de stad in staat van tegenweer en wel bewaakt vond,  heeft ",sjwa,boot,secondary,no,concrete,19,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1800-1900/1800-1900/Fictional prose/Calcar.txt,eene_star_in_den_nacht,1861,Calcar,fiction,no_rhyme,Holland,NL,written,15,19,10,3,1.176091259,1,0.477121255,NA,NA,1,0.1,1,0.1,1,less_frequent
ark,Sittard,19,"  vooraan,  Waarin wij winnen gaan!  Derde tafereel.  MANNEN.  Geen kruis! geen oorlog meer en g\xE8en gedruisch;  Maar diepste rust en allerdiepsten vrede!  ENKELEN.  Het kruis heeft ons verraden, plat getreden!  ALLEN VAN I.  Geen zegepraal, geen vrede dan in 't kruis!  Jacques Schreurs, De heiligen ontwaken   22  ALLEN VAN II.  In elken oorlog zijn wij overwonnen:  De wereld is voor ons voorbij - vergaan!  ALLEN.  En in \xF2ns is de wereld weer begonnen:  Wij zien het Land; de nieuwe Dag breekt aan!  JONGEREN VAN I.  Ziet gij het Land? -  JONGEREN VAN II.  Wij hebben het aanschouwd!  MANNEN EN VROUWEN.  Wij zien het land in zonde en wee verdronken!  MANNEN VAN II.  Wij zien het uit de ",Ark," van ons behoud!  KINDEREN VAN I.  De Ruiter heeft de wereld droog gedronken!  KINDEREN VAN II.  Een nieuwe Aarde hebben wij aanschouwd  En blinkend zien wij hare toppen rijzen,  En wuivend in de gouden Paaschzon staan!  MANNEN EN VROUWEN.  Wij zien het land vol krotten en paleizen  En weten het vol dwazen en vol wijzen  Vol sluwen en vol slaven en vol waan...  JONGEREN.  Wij zien het land vol mijnen en fabrieken,  Vol beurzen en vol banken en vol bars,  En weten het vol ziekten en vol zieken  En vol onmondigen en martelaars!  ALLEN VAN II.  Di\xE8 aarde is veroordeeld en verwonnen;  Di\xE8 wereld is voor ons voorbij - vergaan!  Uit diepe aderen zwelt en volle ",apocope,boot,secondary,no,concrete,20,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1900-2000/1900-2000/Plays/Schreurs 1934.txt,heiligen_ontwaken,1934,Schreurs,fiction,no_rhyme,Oost,NL,spoken_like,15,20,3,3,1.176091259,0.477121255,0.477121255,NA,NA,1,0.1,1,1,0.1,less_frequent
ark,Sittard,6,"  kerk de invitatoria en de psalm gedongen  worden der Metten uit het Officie der Belijders.  Alle torenvensters en galmgaten worden licht, dragen Engelen, wimpels en vanen en eindelijk  spreekt de machtige stem van Servaas:  SERVAAS.  Mijn kinderen, erfgenamen van mijn huis,  Wat vraagt gij van Servaas, die leeft en waakt!  ALLEN.  De eenheid nu van allen in het Kruis,  Nu, Vader, onder ons de wereld kraakt!  SOMMIGEN.  Het Schip van Petrus loopt in een orkaan!  ANDEREN.  De Hunnen vallen weer uw schaapstal aan!  SERVAAS.  Kinderen! wij waken - en de dag is heet:  Dat allen in de Ark verzaam'len zullen,  Dat zich haar kameren met glorie vullen  En zij met heerlijkheid gansch wordt omkleed.  Bouwt! Bouwt de ",Ark," - en geeft haar ruime zalen;  De stormen gaan voorbij: reeds doemt het Land -  De Liefde leeft en die gaat zegepralen:  Kinderen, wij varen rustig in Gods Hand.  Ook slapend waakt en bloeit ons trouw Gebeente  En onze geest is eeuwig bij ons deel  En krijgt gestalte in stemmen en gesteenten  En biddend binden wij het schoon geheel  Van aarde' en hemel, God en mensch te samen.  En allen worden kinderen en erfgenamen  Van Christus vrede' in Christus maatloos Rijk.  En er zal arbeid zijn en voedsel tegelijk  Voor allen, hetzij koning, knecht of kind,  Daar \xE9\xE9n verbond hen allen samenbindt:  In \xE9\xE9ne liefde, die g\xE8en macht kan breken,  In \xE9\xE9",apocope,boot,secondary,no,concrete,20,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1900-2000/1900-2000/Plays/Schreurs 1934.txt,heiligen_ontwaken,1934,Schreurs,fiction,no_rhyme,Oost,NL,spoken_like,15,20,3,3,1.176091259,0.477121255,0.477121255,NA,NA,1,0.1,1,1,0.1,less_frequent
ark,Alkmaar,9,"  in het bestier van zijn volk, en die in het werken van zijn' veldarbeid, en een  ieder in de pligten van zijn' staat of conditie, zoo werkt hij zekerlijk zijne zaligheid,  en heeft het hoofd niet heen of we\xEAr te wenden, om naar andere voorbeelden om te  zien. Maar dan zijn er van de Schriftgeleerden der Romanisten, die beweren, dat de  beelden der Cherubim moesten aangebeden worden door wie de arke aanbaden!  waaruit volgen zou, dat de aanbidding der beelden wettelijk zou zijn. - Dat argument  is regts en links valsch, want het wordt   A.L.G. Bosboom-Toussaint, Het huis Lauernesse    388    nergens gezegd, dat de kinderen Isra\xEBls de arke aanbaden; en genomen, zij aanbaden  de ",arke,", moesten zij daarom de Cherubim aanbidden? Wij aanbidden Christus, die  in den Hemel is; doch wij hebben op geener manieren verstaan, dat men den Hemel  moet aanbidden, benevens al wat daar in of omtrent is! Daarom, bant uit uwe kerken  dat tuig, waarin zoo veel heiligheid steekt, als een paard met zijne hoefijzers grijpen  kan, en heiligt ze den Heere tot een' reinen en heerlijken tempel voor de zuivere  verkondiging van Zijn woord. - Maar, wat spreek ik van Kerk! gij ziet op mij en  vraagt: waar is hier de Kerk? - Zoo vraag ik u dit: waar woont Christus? Ei ziet,  waarom heft gij uwe oogen op naar den Hemel en niet oostwaarts naar de torenspitsen  van de ",sjwa,kist,original,no,concrete,19,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1800-1900/1800-1900/Fictional prose/Bosboom.txt,lauernesse,1840,Bosboom,fiction,no_rhyme,Holland,NL,written,15,19,10,7,1.176091259,1,0.84509804,NA,NA,1,0.1,1,0.1,1,most_frequent
ark,Amsterdam,10,"  - antwoordde de prior - maar zeg uit mijn naam, dat wij  zullen bidden, en dat Pietro niet binnen de stad zal komen.  - Salviati heeft de poorten doen sluiten en bezetten en slechts die standaardvoerders  met hunne manschappen onder de wapenen geroepen, op wier trouw wij rekenen  kunnen; dezen geheelen nacht zal men bezig zijn met het ordenen der  verdedigingsmiddelen.  Elise van Calcar, Eene star in den nacht (2 delen)   290  - God lof dat de wakkere Valori nog in tijds het plan ontdekte - riep fra Jacomo.  - Vrees niet, zijt sterk en volhard in gelooven, sprak de prior - al stond Medicis  voor de poort, hij zou daar niet ingaan; want God heeft hem verdreven en sluit zelf  Florence toe als eenmaal de ",arke," Noachs in het midden der woedende elementen.  Met deze tijding begaf Benivieni zich gemoedigd naar de signorie, terwijl  Savonarola de broeders in de kapel verzamelde om dien nacht in waken en bidden  door te brengen.  Zoodra de dag aanbrak sprak hij tot Paolo:  - Ga heen, mijn zoon, als de duif uit Noachs arke, en onderzoek den stand der  zaken, om te vernemen door welke sterke hand de Heer ons behoed heeft, opdat wij  zijn grooten naam verheerlijken mogen.  Een uur later keert Paolo we\xEAr.  - Vader! ik breng u den olijftak des vredes - roept hij vrolijk. - De overste Salviati  laat u melden, dat de geweldige stortregens het leger van de Medicis alzoo heeft  geteisterd, dat het in ",sjwa,boot,secondary,no,concrete,19,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1800-1900/1800-1900/Fictional prose/Calcar.txt,eene_star_in_den_nacht,1861,Calcar,fiction,no_rhyme,Holland,NL,written,15,19,10,3,1.176091259,1,0.477121255,NA,NA,1,0.1,1,0.1,1,less_frequent
ark,Alkmaar,1,"  de genade, die hem is toebedeeld,  deze in het bestier van zijn volk, en die in het werken van zijn' veldarbeid, en een  ieder in de pligten van zijn' staat of conditie, zoo werkt hij zekerlijk zijne zaligheid,  en heeft het hoofd niet heen of we\xEAr te wenden, om naar andere voorbeelden om te  zien. Maar dan zijn er van de Schriftgeleerden der Romanisten, die beweren, dat de  beelden der Cherubim moesten aangebeden worden door wie de arke aanbaden!  waaruit volgen zou, dat de aanbidding der beelden wettelijk zou zijn. - Dat argument  is regts en links valsch, want het wordt   A.L.G. Bosboom-Toussaint, Het huis Lauernesse    388    nergens gezegd, dat de kinderen Isra\xEBls de ",arke," aanbaden; en genomen, zij aanbaden  de arke, moesten zij daarom de Cherubim aanbidden? Wij aanbidden Christus, die  in den Hemel is; doch wij hebben op geener manieren verstaan, dat men den Hemel  moet aanbidden, benevens al wat daar in of omtrent is! Daarom, bant uit uwe kerken  dat tuig, waarin zoo veel heiligheid steekt, als een paard met zijne hoefijzers grijpen  kan, en heiligt ze den Heere tot een' reinen en heerlijken tempel voor de zuivere  verkondiging van Zijn woord. - Maar, wat spreek ik van Kerk! gij ziet op mij en  vraagt: waar is hier de Kerk? - Zoo vraag ik u dit: waar woont Christus? Ei ziet,  waarom heft gij uwe oogen op naar den Hemel en ",sjwa,kist,original,no,concrete,19,C:/Users/u0112465/Documents/Corpora/Corpus Daniël Van Olmen/1800-1900/1800-1900/Fictional prose/Bosboom.txt,lauernesse,1840,Bosboom,fiction,no_rhyme,Holland,NL,written,15,19,10,7,1.176091259,1,0.84509804,NA,NA,1,0.1,1,0.1,1,most_frequent
